S.No. ,Email,Curriculum Progress,Quiz Score, Bonus Points, Total Score, % Score, badge,3123,3126,3136,3137,3138,3140,3141,3142,3143,3144
34,a99d340b2c1002e5371117f51f0c504b043c7abbd874b0e10e2b664a,10 out of 10 Course Completed,900 out of 1000,5,905,90.50%,platinum,90,95,90,100,75,90,95,95,95,75
35,caea91a484691d9cc3d39498f75dee87cc0c114c4dcc6cfa96218627,9 out of 10 Course Completed,635 out of 900,0,635,70.56%,silver,40,75,na,75,60,60,90,85,75,75
36,06627002eefd6f7e0e6455651cf0117370c247aecd63f727da970963,10 out of 10 Course Completed,830 out of 1000,0,830,83.00%,gold,70,80,80,80,80,90,85,90,90,85
37,71c02ac69a53413ed62dcff4a0a1c06fa5d0bdfd7a2ffc04a185209b,10 out of 10 Course Completed,730 out of 1000,10,740,74.00%,silver,75,90,60,85,65,65,90,75,60,65
38,2257fb5e09f8426c39378771d2680b6283ae890394b73919986efcdb,10 out of 10 Course Completed,810 out of 1000,0,810,81.00%,gold,85,75,75,65,70,95,75,95,80,95
39,655701f6eebafe0b4dd24192571970ac149977a7f5f1178704e39279,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
40,df933aba82edb482084d48478544a698482675419ee8a650d15402b6,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
41,ef267b45f379e40928fd2eb97ce458d3ed927f5878d9ebdd0794779c,10 out of 10 Course Completed,695 out of 1000,0,695,69.50%,,75,40,75,60,60,85,85,80,65,70
42,ba44a418a9876a3a3dd0f394336f7c492f26b55444680d2bbac7171f,0 out of 10 Course Completed,0 out of 0,0,0,0.00%,na,na,na,na,na,na,na,na,na,na,na
43,65d9c77eaf4c81c2d08472319a5a33c21ccbac229838789e24989362,10 out of 10 Course Completed,935 out of 1000,35,970,97.00%,platinum,100,100,100,95,90,100,90,85,80,95
44,75df700c4efa001d7257cd27a10031f7c87a3b9d5ee12c4073fe2d00,10 out of 10 Course Completed,840 out of 1000,0,840,84.00%,,90,85,85,80,80,80,75,85,90,90
45,e90f54ae4df65035d3484d2f910e0438c957c46a73f68f383eee9e75,10 out of 10 Course Completed,905 out of 1000,0,905,90.50%,platinum,95,90,95,90,85,95,90,85,95,85
46,2d2c08bc2de7234c12b0b41f76b0af30d699eee390af67a9a902667b,10 out of 10 Course Completed,865 out of 1000,25,890,89.00%,gold,55,80,100,85,85,100,90,95,95,80
47,e510af298d04c8cc7cedd2b8bc6c74473cdc213b60f0c0a8ec978ddd,10 out of 10 Course Completed,910 out of 1000,5,915,91.50%,platinum,80,95,85,95,90,100,95,90,90,90
48,14c3362cf8ea9f5256c38753628898b763eff79add6906e26ac0015f,10 out of 10 Course Completed,835 out of 1000,20,855,85.50%,gold,60,80,80,90,75,90,95,85,90,90
49,28d0c57c5e2ef8c5e4529d46abcd7075c01654a6ecffcd9bc4546177,10 out of 10 Course Completed,890 out of 1000,35,925,92.50%,,70,90,100,90,80,95,100,95,70,100
50,96b651b3f1baa35e574da89c267844878278c47b4fbcc13fb04dca59,10 out of 10 Course Completed,875 out of 1000,15,890,89.00%,gold,75,95,90,95,75,75,100,95,95,80
51,9e72eb395ba6fc2e9b2050bf4cc1dd954e2ecb149d67605b5d9a2555,10 out of 10 Course Completed,925 out of 1000,25,950,95.00%,platinum,85,90,95,95,90,100,95,95,90,90
52,8653c756b5fcac9b68d092eadaa68d5834451581012b25ff9919e587,10 out of 10 Course Completed,955 out of 1000,25,980,98.00%,platinum,95,100,95,95,90,95,100,100,95,90
